Encounter Code,Number of Players,DMG difficulty,DMG xp,Balanced 1 ave success,Balanced 1ave damage,Balanced 2 ave success,Balanced 2ave damage,Unbalanced 1 ave success,Unbalanced 1ave damage,Unbalanced 2 ave success,Unbalanced 2ave damage,Random ave success,Randomave damage
LA,5,Hard,400,1.0,0.35096153846153844,0.75,0.7287037037037039,0.9,0.6225490196078433,0.95,0.41491228070175445,0.8,0.7163636363636364
LB,5,Easy,150.0,1.0,0.15576923076923074,1.0,0.24907407407407406,1.0,0.24803921568627452,1.0,0.12368421052631577,1.0,0.2681818181818182
LC ,5,Medium,300,1.0,0.1673076923076923,0.9,0.5074074074074074,0.85,0.6598039215686275,1.0,0.1675438596491228,0.95,0.6763636363636363
LD,5,Deadly,600,0.45,1.0173076923076922,0.15,1.2296296296296296,0.4,1.130392156862745,0.9,0.620175438596491,0.3,1.1081818181818182
R5E01,5,Easy,150,1.0,0.12307692307692308,1.0,0.3675925925925925,1.0,0.2725490196078431,1.0,0.17105263157894735,1.0,0.3063636363636363
R5E02,5,Easy,112.5,1.0,0.06730769230769232,1.0,0.28425925925925927,1.0,0.19117647058823534,1.0,0.11140350877192981,1.0,0.21272727272727274
R5E03  ,5,Easy,75.0,1.0,0.058653846153846154,1.0,0.14907407407407405,1.0,0.24803921568627452,1.0,0.05263157894736843,0.95,0.2363636363636364
R5E04  ,5,Easy,75.0,1.0,0.08653846153846155,1.0,0.2074074074074074,1.0,0.09705882352941178,1.0,0.061403508771929814,1.0,0.13090909090909092
R5E05  ,5,Easy,112.5,1.0,0.049038461538461545,1.0,0.19814814814814813,1.0,0.21470588235294122,1.0,0.007894736842105263,1.0,0.3181818181818182
R5E06 ,5,Easy,112.5,1.0,0.09807692307692309,1.0,0.3444444444444445,1.0,0.2833333333333333,1.0,0.058771929824561406,0.95,0.34272727272727266
R5E07 ,5,Easy,112.5,1.0,0.05961538461538461,1.0,0.24351851851851852,1.0,0.09019607843137253,1.0,0.035964912280701755,1.0,0.2336363636363636
R5E08 ,5,Easy,112.5,1.0,0.007692307692307693,1.0,0.06759259259259258,1.0,0.023529411764705882,1.0,0.015789473684210527,1.0,0.05454545454545453
R5E09 ,5,Easy,112.5,1.0,0.09134615384615383,1.0,0.29074074074074074,1.0,0.23431372549019608,1.0,0.07280701754385965,1.0,0.3290909090909091
R5E10,5,Easy,112.5,1.0,0.0125,1.0,0.09537037037037037,1.0,0.021568627450980392,1.0,0.018421052631578946,1.0,0.17818181818181816
R5M01 ,5,Medium,200,1.0,0.006730769230769232,1.0,0.14166666666666666,1.0,0.01666666666666667,1.0,0.021929824561403508,1.0,0.0990909090909091
R5M02 ,5,Medium,225.0,1.0,0.16826923076923078,1.0,0.5777777777777778,1.0,0.4470588235294118,1.0,0.1131578947368421,1.0,0.46272727272727276
R5M03  ,5,Medium,225.0,1.0,0.11923076923076922,0.9,0.5768518518518518,1.0,0.3872549019607844,1.0,0.0912280701754386,1.0,0.4027272727272727
R5M04 ,5,Medium,225.0,1.0,0.07211538461538462,1.0,0.20648148148148143,1.0,0.3392156862745098,1.0,0.03333333333333333,0.95,0.5954545454545455
R5M05 ,5,Medium,250,1.0,0.04807692307692307,1.0,0.4175925925925926,1.0,0.25588235294117645,1.0,0.06140350877192983,1.0,0.4490909090909092
R5M06 ,5,Medium,187.5,1.0,0.04423076923076923,1.0,0.12685185185185185,1.0,0.050980392156862744,1.0,0.04473684210526315,1.0,0.08818181818181817
R5M07 ,5,Medium,200,1.0,0.0,1.0,0.08055555555555556,1.0,0.0,1.0,0.0,1.0,0.20090909090909093
R5M08,5,Medium,187.5,1.0,0.0009615384615384616,1.0,0.10740740740740742,1.0,0.050980392156862744,1.0,0.04035087719298246,1.0,0.11272727272727272
R5M09 ,5,Medium,250,1.0,0.1673076923076923,1.0,0.2824074074074074,0.95,0.4666666666666667,1.0,0.13333333333333333,1.0,0.3881818181818182
R5M10 ,5,Medium,225.0,1.0,0.049038461538461545,1.0,0.2416666666666667,1.0,0.1647058823529412,1.0,0.042105263157894736,1.0,0.32272727272727275
R5H01 ,5,Hard,400,1.0,0.5307692307692307,0.65,0.8898148148148148,0.15,1.2735294117647054,0.95,0.44122807017543864,0.5,0.988181818181818
R5H02 ,5,Hard,400,1.0,0.2798076923076923,0.9,0.7101851851851853,0.9,0.6470588235294118,1.0,0.20438596491228073,0.9,0.840909090909091
R5H03 ,5,Hard,350,1.0,0.18461538461538463,0.95,0.5462962962962964,1.0,0.5676470588235294,1.0,0.16052631578947368,0.95,0.5436363636363637
R5H04 ,5,Hard,375.0,1.0,0.08365384615384615,1.0,0.5194444444444444,0.9,0.35686274509803917,1.0,0.08684210526315789,1.0,0.4663636363636363
R5H05,5,Hard,400,1.0,0.0,1.0,0.1287037037037037,1.0,0.05294117647058823,1.0,0.0017543859649122805,1.0,0.1545454545454545
R5H06 ,5,Hard,400,1.0,0.46826923076923077,0.7,1.0657407407407409,0.55,1.0774509803921568,0.95,0.42017543859649126,0.65,1.0072727272727273
R5H07 ,5,Medium,300.0,1.0,0.047115384615384615,1.0,0.5268518518518518,1.0,0.346078431372549,1.0,0.09122807017543859,1.0,0.3381818181818182
R5H08  ,5,Hard,400,1.0,0.15000000000000002,1.0,0.5074074074074073,1.0,0.34019607843137256,1.0,0.1614035087719298,0.95,0.4763636363636364
R5H09  ,5,Medium,200,1.0,0.08653846153846154,1.0,0.36018518518518516,1.0,0.2323529411764706,1.0,0.1342105263157895,1.0,0.49909090909090903
